wn_synset	babelnet_id	pos	lemmata en	lemmata fr	definition	confidence	dist_from_music	dist_from_entity
UNIMARK			symphonie dramatique
UNIMARK			synthétiseur
UNIMARK			syomyo
UNIMARK			tabla
UNIMARK			tablas
UNIMARK			Tagelied
UNIMARK			tambour
UNIMARK			tambour à friction
UNIMARK			tambour d'acier
UNIMARK			tambour de basque
UNIMARK			tambour de bois à fente
UNIMARK			tambour militaire
UNIMARK			tambourin
UNIMARK			tambourin de béarn
UNIMARK			tambûr
UNIMARK			tam-tam
UNIMARK			tarentelle
UNIMARK			tarole
UNIMARK			temple block
UNIMARK			ténor
UNIMARK			tenor horn
UNIMARK			tenor oboe
UNIMARK			tenoroon
UNIMARK			tenso
UNIMARK			tex-mex
UNIMARK			théâtre musical
UNIMARK			théorbe
UNIMARK			thereminovox
UNIMARK			third stream
UNIMARK			threnos
UNIMARK			tiento
UNIMARK			timbales
UNIMARK			tirana
UNIMARK			tocada
UNIMARK			Tokkate
UNIMARK			tom
UNIMARK			tombeau
UNIMARK			tourdion
UNIMARK			tournoi
UNIMARK			tragédie lyrique
UNIMARK			trait
UNIMARK			traité
UNIMARK			transitorium
UNIMARK			traquenard
UNIMARK			trecanum
UNIMARK			trenchmore
UNIMARK			trezza
UNIMARK			tricinium
UNIMARK			tricotet
UNIMARK			trio vocal
UNIMARK			triodion
UNIMARK			trishagion
UNIMARK			trombone
UNIMARK			trompette
UNIMARK			trompette de verre
UNIMARK			trompette marine
UNIMARK			trope
UNIMARK			tuba
UNIMARK			tumba
UNIMARK			tuned gong
UNIMARK			tuning-fork
UNIMARK			two-step
UNIMARK			txalaparta
UNIMARK			tyrolienne
UNIMARK			ukulélé
UNIMARK			unspecified instruments
UNIMARK			valse
UNIMARK			valse boston
UNIMARK			varsovienne
UNIMARK			vaudeville
UNIMARK			veneziana
UNIMARK			vêpres
UNIMARK			verset
UNIMARK			verset d'alleluia
UNIMARK			verset de graduel
UNIMARK			verset de répons
UNIMARK			verset d'introït
UNIMARK			versicle
UNIMARK			vibraphone
UNIMARK			vibra-slap
UNIMARK			vièle (famille)
UNIMARK			vielle à roue
UNIMARK			vihuela
UNIMARK			villancico
UNIMARK			villanella
UNIMARK			villanelle
UNIMARK			villotta
UNIMARK			viola pomposa
UNIMARK			viole de gambe
UNIMARK			violon
UNIMARK			violon de fer
UNIMARK			violoncelle
UNIMARK			violone
UNIMARK			virelai
UNIMARK			vocal and instrumental ensemble
UNIMARK			vocalise
UNIMARK			voices
UNIMARK			voix - autre
UNIMARK			voix - non spécifié
UNIMARK			voix de femme
UNIMARK			voix d'enfant
UNIMARK			voix d'homme
UNIMARK			voix parlée
UNIMARK			volte
UNIMARK			vox humana
UNIMARK			wagner tuba
UNIMARK			woodblock
UNIMARK			woodwinds
UNIMARK			xylorimba
UNIMARK			yaraví
UNIMARK			zamacueca
UNIMARK			zamba
UNIMARK			zapateado
UNIMARK			zarb
UNIMARK			zarzuela
UNIMARK			zoppa
UNIMARK			zortziko
UNIMARK			Zwiefacher
r00462520	bn:00116357r	r	noiselessly, soundlessly		without a sound	1.0	99	99
r00388494	bn:00116103r	r	lento, slowly		in music	1.0	99	99
r00388094	bn:00117117r	r	staccato		separating the notes; in music	1.0	99	99
r00387983	bn:00116099r	r	legato		connecting the notes; in music	1.0	99	99
r00270713	bn:00114227r	r	allegro		in a quick and lively tempo	1.0	99	99
r00270581	bn:00114226r	r	allegretto		in a moderately quick tempo	1.0	99	99
r00267812	bn:00114284r	r	andante		at a moderately slow tempo	1.0	99	99
r00264927	bn:00114100r	r	accelerando		with increasing speed	1.0	99	99
r00229399	bn:00116769r	r	quietly		with little or no sound	1.0	99	99
r00199333	bn:00116790r	r	raucously		with a raucous sound	1.0	99	99
r00135998	bn:00114718r	r	chorally		by a chorus	1.0	99	99
r00134727	bn:00115601r	r	harmonically		with respect to harmony	1.0	99	99
r00061899	bn:00116691r	r	presto		at a very fast tempo (faster than allegro)	1.0	99	99
r00050075	bn:00116607r	r	shrilly, piercingly		in a shrill voice	1.0	99	99
n15265331	bn:00054347n	n	meno_mosso		played at reduced speed; less rapid	0.763	8	6
n15265219	bn:00003939n	n	andante		a moderately slow tempo (a walking pace)	1.0	8	6
n15265021	bn:00002827n	n	allegro		a brisk and lively tempo	1.0	8	6
n15264891	bn:00002825n	n	allegretto		a quicker tempo than andante but not as fast as allegro	1.0	8	6
n15264264	bn:00078339n	n	triple_time		musical time with three beats in each bar	0.925	7	5
n15250580	bn:00071641n	n	silver_jubilee		an anniversary celebrating the passage of 25 years	0.5	11	9
n15250468	bn:00026852n	n	diamond_jubilee		an anniversary celebrating the passage of 60 years	0.5	11	9
n15250312	bn:00048476n	n	jubilee		a special anniversary (or the celebration of it)	0.459	10	8
n14499111	bn:00072843n	n	sordidness, squalor, squalidness		sordid dirtiness	1.0	9	7
n14498972	bn:00072368n	n	smuttiness, sootiness		the state of being dirty with soot	0.5	9	7
n14498843	bn:00041802n	n	griminess, grubbiness		the state of being grimy	0.5	9	7
n14498733	bn:00029208n	n	dustiness		the state of being covered with dust	0.333	9	7
n14498567	bn:00027191n	n	dinginess, dinge		discoloration due to dirtiness	0.5	9	7
n14498404	bn:00009615n	n	befoulment, defilement, pollution		the state of being polluted	0.5	9	7
n14488118	bn:00033894n	n	feculence		something that is feculent	1.0	9	7
n13978709	bn:00037296n	n	tumult, tumultuousness, uproar, garboil		a state of commotion and noise and confusion	0.75	8	6
n13978601	bn:00074461n	n	storm_center, storm_centre		a center of trouble or disturbance	1.0	8	6
n13978166	bn:00073466n	n	stir, splash		a prominent or sensational but short-lived news event	0.333	8	6
n13978033	bn:00046283n	n	incident		a public disturbance	0.5	8	6
n13977870	bn:00029449n	n	earthquake		a disturbance that is extremely disruptive	1.0	8	6
n13977732	bn:00022403n	n	convulsion, turmoil, upheaval		a violent disturbance	1.0	8	6
n13416241	bn:00026742n	n	devise		a will disposing of real property	0.5	8	8
n13285101	bn:00072497n	n	soap		money offered as a bribe	0.5	11	9
n13284784	bn:00049071n	n	kickback		a commercial bribe paid by a seller to a purchasing agent in order to induce the agent to enter into the transaction	0.333	11	9
n13284562	bn:00013043n	n	bribe, payoff		payment made to a person in a position of trust to corrupt his judgment	0.571	10	8
n11512144	bn:00003670n	n	nonlinear_distortion, amplitude_distortion		distortion that occurs when the output signal does not have a linear relation to the input signal	0.053	12	8
n11372242	bn:00033805n	n	Waller, Fats_Waller, Thomas_Wright_Waller		United States jazz musician (1904-1943)	1.0	12	8
n11348047	bn:00043572n	n	Traubel, Helen_Traubel		United States operatic soprano (1903-1972)	1.0	13	9
n11321296	bn:00048286n	n	Strauss, Johann_Strauss, Strauss_the_Elder		Austrian composer of waltzes (1804-1849)	1.0	12	8
n11242469	bn:00063517n	n	Ponselle, Rosa_Ponselle, Rosa_Melba_Ponselle		United States soprano (1897-1981)	1.0	13	9
n11168513	bn:00048328n	n	McCormick, John_McCormick		United States operatic tenor (born in Ireland) (1884-1945)	0.5	13	9
n11118362	bn:00050089n	n	Lasso, Orlando_di_Lasso, Roland_de_Lassus		Belgian composer (1532-1594)	1.0	12	8
n11113601	bn:00049554n	n	Laban, Rudolph_Laban		Hungarian choreographer who developed Labanotation (1879-1958)	0.533	10	6
n11095587	bn:00005303n	n	Kachaturian, Aram_Kachaturian		Armenian composer who incorporated oriental folk music (1903-1978)	0.357	12	8
n11048109	bn:00025107n	n	Hess, Dame_Myra_Hess		English pianist (1890-1965)	1.0	12	8
n10971981	bn:00030400n	n	Fitzgerald, Ella_Fitzgerald		United States scat singer (1917-1996)	1.0	12	8
n10882846	bn:00016120n	n	Carmichael, Hoagy_Carmichael, Hoagland_Howard_Carmichael		United States songwriter (1899-1981)	1.0	13	9
n10831363	bn:00007977n	n	Bailey, Pearl_Bailey, Pearl_Mae_Bailey		United States singer (1918-1990)	1.0	12	8
n10803838	bn:00081924n	n	yodeller		a singer who changes register rapidly (popular is Swiss folk songs)	0.8	12	8
n10766492	bn:00080470n	n	warbler		a singer; usually a singer who adds embellishments to the song	1.0	12	8
n10758713	bn:00080189n	n	voice		(metonymy) a singer	1.0	12	8
n10755080	bn:00080042n	n	violist		a musician who plays the viola	0.693	11	7
n10749928	bn:00079903n	n	vibist, vibraphonist		a musician who plays the vibraphone	0.663	11	7
n10732010	bn:00022752n	n	trumpeter, cornetist		a musician who plays the trumpet or cornet	0.507	11	7
n10718509	bn:00077181n	n	tout, ticket_tout		someone who buys tickets to an event in order to resell them at a profit	0.136	11	7
n10715881	bn:00077659n	n	torch_singer		a singer (usually a woman) who specializes in singing torch songs	0.823	12	8
n10713686	bn:00075680n	n	toastmaster, symposiarch		the person who proposes toasts and introduces speakers at a banquet	0.05	10	6
n10709876	bn:00077102n	n	thrush		a woman who sings popular songs	0.6	12	8
n10701783	bn:00076534n	n	tenor		an adult male with a tenor voice	0.875	12	8
n10697420	bn:00076372n	n	telecaster		a television broadcaster	0.5	10	6
n10687826	bn:00027200n	n	tablemate, dining_companion		someone you dine with	0.5	12	8
n10686694	bn:00075707n	n	syncopator		a musician who plays syncopated jazz music (usually in a dance band)	0.857	12	8
n10603851	bn:00071855n	n	sitar_player		a musician who plays the sitar	1.0	11	7
n10598904	bn:00001301n	n	addle-head, addlehead, loon, birdbrain		a person with confused ideas; incapable of serious thought	0.009	10	6
n10561613	bn:00041133n	n	scoffer, gorger		someone who eats food rapidly and greedily	0.5	11	7
n10557404	bn:00069607n	n	schmuck, shmuck, schmo, shmo		(Yiddish) a jerk	0.5	11	7
n10554846	bn:00069488n	n	scalper		someone who buys something and resells it at a price far above the initial cost	0.136	10	6
n10536416	bn:00068075n	n	rock_star		a famous singer of rock music	0.933	12	8
n10535881	bn:00068050n	n	rocker, rock_'n'_roll_musician		a performer or composer or fan of rock music	1.0	11	7
n10528816	bn:00067685n	n	rhythm_and_blues_musician		a performer (and sometimes composer) of rhythm and blues music	1.0	11	7
n10512109	bn:00066586n	n	recorder_player		someone who plays the recorder	0.667	11	7
n10511649	bn:00066538n	n	recitalist		a musician who gives recitals	1.0	12	8
n10500942	bn:00065675n	n	question_master, quizmaster		the host or chairman of a radio or tv quiz show or panel game	0.2	10	6
n10492894	bn:00065236n	n	punk_rocker, punk		a teenager or young adult who is a performer (or enthusiast) of punk rock and a member of the punk youth subculture	0.624	10	6
n10456070	bn:00063700n	n	poseuse		a woman poseur	0.5	13	9
n10434947	bn:00062578n	n	pipe_major		the chief piper in a band of bagpipes	0.227	12	8
n10432189	bn:00062254n	n	picnicker, picknicker		a person who is picnicking	0.5	11	7
n10412784	bn:00061259n	n	peeler		a worker who peels the skins from fruits and vegetables	0.0	9	5
n10378290	bn:00059112n	n	opera_star, operatic_star		singer of lead role in an opera	0.75	12	8
n10377542	bn:00058951n	n	omnivore		a person who eats all kinds of foods	0.333	11	7
n10362765	bn:00058135n	n	nosher, snacker		someone who eats lightly or eats snacks between meals	0.167	11	7
n10343211	bn:00056577n	n	mycophagist, mycophage		a person or animal who eats fungi (especially mushrooms)	0.005	11	7
n10339966	bn:00056475n	n	musician		artist who composes or conducts music as a profession	0.769	10	6
n10339856	bn:00056447n	n	music_critic		a critic of musical performances	0.486	11	7
n10335679	bn:00056139n	n	mouth		a person conceived as a consumer of food	0.25	11	7
n10322238	bn:00055297n	n	misfit		someone unable to adapt to their circumstances	0.909	9	5
n10311995	bn:00054558n	n	metalhead		a fan of heavy metal music	0.667	10	6
n10292316	bn:00053285n	n	manufacturer, producer		someone who manufactures something	0.855	10	6
n10291580	bn:00044610n	n	manikin, mannikin, homunculus		a person who is very small but who is not otherwise deformed or abnormal	0.429	9	5
n10279867	bn:00052657n	n	madrigalist		a singer of madrigals	1.0	12	8
n10277132	bn:00052335n	n	luncher		someone who is eating lunch	0.333	11	7
n10259016	bn:00051027n	n	lieder_singer		a singer of lieder	1.0	12	8
n10240715	bn:00049444n	n	koto_player		a musician who plays the koto	0.667	11	7
n10231087	bn:00049103n	n	killer, slayer		someone who causes the death of a person or animal	0.572	8	4
n10221656	bn:00037607n	n	jewel, gem		a person who is as brilliant and precious as a piece of jewelry	0.524	8	4
n10220486	bn:00048069n	n	jazz_musician, jazzman		a musician who plays or composes jazz music	1.0	11	7
n10191802	bn:00045195n	n	hummer		a singer who produces a tune without opening the lips or forming words	0.6	12	8
n10187710	bn:00044934n	n	hotdog, hot_dog		someone who performs dangerous stunts to attract attention to himself	0.333	12	8
n10185483	bn:00044801n	n	hornist		a musician who plays a horn (especially a French horn)	1.0	11	7
n10160624	bn:00043026n	n	harmonizer, harmoniser		a musician who sings or plays in harmony	1.0	11	7
n10143371	bn:00041366n	n	grandstander		someone who performs with an eye to the applause from spectators in the grandstand	0.333	12	8
n10134282	bn:00040869n	n	gobbler		a hasty eater who swallows large mouthfuls	0.333	11	7
n10119953	bn:00037255n	n	gangsta		(Black English) a member of a youth gang	0.636	9	5
n10118743	bn:00037161n	n	gambist		a musician who performs upon the viola da gamba	0.488	11	7
n10111023	bn:00036399n	n	freeman, freewoman		a person who is not a serf or a slave	0.262	10	6
n10102969	bn:00035810n	n	forefather		person from an earlier time who contributed to the tradition shared by some group	0.526	10	6
n10100620	bn:00035662n	n	food_manufacturer		a person who manufactures food products	0.333	11	7
n10063461	bn:00031573n	n	escort		an attendant who is employed to accompany someone	0.2	11	7
n10040049	bn:00029133n	n	dunker		an eater who dips food into a liquid before eating it	0.333	11	7
n10036692	bn:00028898n	n	drum_majorette, majorette		a female drum major	0.163	12	8
n10018653	bn:00027763n	n	distiller		someone who distills alcoholic liquors	0.25	11	7
n10013242	bn:00027185n	n	diner		a person eating a meal (especially in a restaurant)	0.5	11	7
n10010864	bn:00026756n	n	devourer		someone who eats greedily or voraciously	0.5	11	7
n09986450	bn:00024793n	n	cymbalist		a performer on the cymbals	1.0	12	8
n09985470	bn:00016357n	n	cutter, carver		someone who carves the meat	0.333	12	8
n09970295	bn:00023225n	n	countertenor		a male singer with a voice above that of a tenor	0.725	13	9
n09961198	bn:00022251n	n	contralto		a woman singer having a contralto voice	0.791	12	8
n09946814	bn:00021334n	n	compere		British term for someone who introduces television acts or cabarets etc	0.5	10	6
n09930464	bn:00019953n	n	closer		a person who closes something	0.645	8	4
n09919690	bn:00018670n	n	choirboy		a boy who sings in a choir	0.516	13	9
n09900981	bn:00016701n	n	catch, match		a person regarded as a good matrimonial prospect	0.5	9	5
n09896401	bn:00016157n	n	caroler, caroller		a singer of carols	0.475	12	8
n09896311	bn:00016079n	n	carillonneur		a musician who plays a carillon	0.209	11	7
n09890662	bn:00015164n	n	canary		a female singer	0.5	12	8
n09875786	bn:00013240n	n	broadcaster		someone who broadcasts on radio or television	0.6	9	5
n09874014	bn:00013027n	n	brewer		the owner or manager of a brewery	1.0	11	7
n09849256	bn:00009758n	n	bell_ringer		someone who plays musical handbells	0.667	11	7
n09842528	bn:00008913n	n	bass, basso		an adult male singer with the lowest voice	0.5	12	8
n09837459	bn:00008320n	n	bandsman		a player in a band (especially a military band)	0.75	11	7
n09837360	bn:00008317n	n	bandmaster		the conductor of a band	0.355	12	8
n09837088	bn:00008314n	n	bandit, brigand		an armed thief who is (usually) a member of a band	0.165	13	9
n09829798	bn:00007689n	n	bacchant, bacchanal		a drunken reveller; a devotee of Bacchus	0.5	10	6
n09809925	bn:00001269n	n	arranger, adapter, transcriber		a musician who adapts a composition for particular voices or instruments or for another style of performance	0.825	11	7
n09809134	bn:00005799n	n	arms_manufacturer		someone who manufactures arms and munitions	0.01	11	7
n09796185	bn:00004578n	n	anthropoid, ape		person who resembles a nonhuman primate	0.25	10	6
n09789304	bn:00003586n	n	amorist		one dedicated to love and lovemaking especially one who writes about love	0.25	10	6
n09786226	bn:00003152n	n	alto_saxophonist, altoist		a musician who plays the alto saxophone	0.882	12	8
n09786115	bn:00003145n	n	alto		a singer whose voice lies in the alto clef	1.0	12	8
n09776807	bn:00001806n	n	aficionado		a serious devotee of some particular music genre or musical performer	0.667	10	6
n09776186	bn:00001695n	n	aerophile		a lover of aviation	0.333	10	6
n09735113	bn:00059645n	n	Ottoman, Ottoman_Turk, Osmanli		a Turk (especially a Turk who is a member of the tribe of Osman I)	0.013	12	8
n09612580	bn:00022252n	n	contrapuntist		a composer who specializes in counterpoint	1.0	12	8
n09541346	bn:00079028n	n	undine		any of various female water spirits	0.692	11	9
n09501737	bn:00071490n	n	Siegfried		(German mythology) mythical German warrior hero of the Nibelungenlied who takes possession of the accursed treasure of the Nibelungs by slaying the dragon that guards it and awakens Brynhild and is eventually killed; Sigurd is the Norse counterpart	0.534	11	9
n09138538	bn:00017880n	n	Charleston		a port city in southeastern South Carolina	0.48	11	7
n08830005	bn:00066883n	n	Regina		the provincial capital of Saskatchewan	0.621	14	10
n08478261	bn:00066581n	n	record_company		a company that makes and sells musical recordings	0.662	9	7
n08326266	bn:00080854n	n	welcoming_committee		a committee to welcome new residents to a community	0.622	9	7
n08250750	bn:00074127n	n	steel_band		a band that plays instruments made from the heads of oil drums (Caribbean Islands)	0.43	9	7
n08250635	bn:00071963n	n	skiffle_group		a band of musicians who play skiffle	0.681	9	7
n08249960	bn:00008283n	n	dance_band, band, dance_orchestra		a group of musicians playing popular music for dancing	0.875	8	6
n08249207	bn:00053366n	n	marching_band		a band that marches (as in a parade) and plays music at the same time	0.471	9	7
n08248047	bn:00058608n	n	octet, octette		eight performers or singers who perform together	1.0	8	6
n08247935	bn:00070557n	n	septet, septette		seven performers or singers who perform together	1.0	8	6
n08247816	bn:00070692n	n	sextet, sextette, sestet		six performers or singers who perform together	1.0	8	6
n08247400	bn:00008541n	n	barbershop_quartet		an unaccompanied quartet of (usually male) voices singing sentimental songs in four-part harmony	0.47	9	7
n08247152	bn:00078314n	n	trio		three performers or singers who perform together	1.0	8	6
n08247021	bn:00029058n	n	duet, duette, duo		two performers or singers who perform together	0.667	8	6
n08217865	bn:00066761n	n	reed_section		the section of a band or orchestra that plays reed instruments	1.0	9	7
n08217738	bn:00078470n	n	trumpet_section		the section of a band or orchestra that plays trumpets or cornets	1.0	10	8
n08217450	bn:00080041n	n	violin_section		the section of an orchestra that plays violins	1.0	10	8
n08217135	bn:00012792n	n	brass_section, brass		the section of a band or orchestra that plays brass instruments	1.0	9	7
n08216900	bn:00070196n	n	section		a division of an orchestra containing all instruments of the same class	0.875	8	6
n08188235	bn:00030961n	n	ensemble		a group of musicians playing or singing together	0.875	8	6
n07399336	bn:00078161n	n	tremolo		vocal vibrato especially an excessive or poorly controlled one	1.0	9	7
n07396658	bn:00076128n	n	tapping		the sound of light blow or knock	0.842	8	6
n07396530	bn:00075624n	n	swoosh, whoosh		the noise produced by the sudden rush of a fluid (a gas or liquid)	0.2	9	7
n07395867	bn:00073775n	n	squish		the noise of soft mud being walked on	0.5	9	7
n07395446	bn:00073744n	n	squawk		the noise of squawking	0.111	9	7
n07395104	bn:00062837n	n	splash, plash		the sound like water splashing	0.087	9	7
n07394814	bn:00073160n	n	spatter, spattering, splatter, splattering, sputter, splutter, sputtering		the noise of something spattering or sputtering explosively	1.0	9	7
n07394236	bn:00072392n	n	snap		the noise produced by the rapid movement of a finger from the tip to the base of the thumb on the same hand	0.4	9	7
n07394115	bn:00072045n	n	slam		the noise made by the forceful impact of two objects	0.5	9	7
n07393919	bn:00071894n	n	sizzle		a sizzling noise	1.0	9	7
n07393589	bn:00071346n	n	shrilling		a continuing shrill noise	1.0	9	7
n07393500	bn:00069901n	n	scrunch		a crunching noise	1.0	9	7
n07392373	bn:00028902n	n	rub-a-dub, rataplan, drumbeat		the sound made by beating a drum	0.868	8	6
n07391516	bn:00067182n	n	report		a sharp explosive sound (especially the sound of a gun firing)	0.002	9	7
n07391240	bn:00066082n	n	rattle, rattling, rale		a rapid series of short loud sounds (as might be heard with a stethoscope in some types of respiratory disorders)	0.429	9	7
n07391079	bn:00066219n	n	rat-a-tat-tat, rat-a-tat, rat-tat		a series of short sharp taps (as made by strokes on a drum or knocks on a door)	0.333	9	7
n07390205	bn:00063095n	n	plump		the sound of a sudden heavy fall	0.333	9	7
n07390049	bn:00063048n	n	plop		the noise of a rounded object dropping into a liquid without a splash	0.5	9	7
n07389931	bn:00063047n	n	plonk		the noise of something dropping (as into liquid)	0.5	9	7
n07388706	bn:00060422n	n	pant		the noise made by a short puff of steam (as from an engine)	0.333	9	7
n07385998	bn:00047970n	n	jingle, jangle		a metallic sound	0.86	8	6
n07385367	bn:00045076n	n	howl		a loud sustained noise resembling the cry of a hound	0.25	9	7
n07384898	bn:00034953n	n	hiss, hissing, hushing, fizzle, sibilation		a fricative sound (especially as an expression of disapproval)	0.5	9	7
n07384614	bn:00042002n	n	grunt, oink		the short low gruff noise of the kind made by hogs	0.333	9	7
n07384344	bn:00041815n	n	grinding		a harsh and strident sound (as of the grinding of gears)	0.25	9	7
n07384244	bn:00041458n	n	grate		a harsh rasping sound made by scraping something	0.333	9	7
n07383696	bn:00032345n	n	explosion		the noise caused by an explosion	0.5	9	7
n07383616	bn:00027189n	n	ding-dong		the noise made by a bell	1.0	9	7
n07382414	bn:00024135n	n	crunch		the sound of something crunching	1.0	9	7
n07380144	bn:00019432n	n	clang, clangor, clangour, clangoring, clank, clash, crash		a loud resonant repeating noise	1.0	9	7
n07379963	bn:00019390n	n	clack, clap		a sharp abrupt noise as if two objects hit together; may be repeated	0.75	9	7
n07379852	bn:00018980n	n	chug		the dull explosive noise made by an engine	0.667	9	7
n07378952	bn:00017953n	n	chatter, chattering		the rapid series of noises made by the parts of a machine	0.333	9	7
n07378781	bn:00017954n	n	chatter, chattering		the high-pitched continuing noise made by animals (birds or monkeys)	0.25	9	7
n07376731	bn:00008595n	n	bark		a noise resembling the bark of a dog	0.25	9	7
n07376539	bn:00008343n	n	banging		a continuing very loud noise	1.0	9	7
n07330560	bn:00049229n	n	kismet, kismat		(Islam) the will of Allah	0.315	8	6
n07295629	bn:00061123n	n	wages, reward, payoff		a recompense for worthy acts or retribution for wrongdoing	0.333	10	8
n07294777	bn:00077913n	n	train		a series of consequences wrought by an event	0.5	10	8
n07294699	bn:00070572n	n	sequella		a secondary consequence	1.0	10	8
n07294550	bn:00036688n	n	fruit		the consequence of some effort or action	0.333	10	8
n07294260	bn:00022784n	n	corollary		a practical consequence that follows naturally	0.5	10	8
n07294019	bn:00001874n	n	consequence, aftermath		the outcome of an event especially as relative to an individual	0.804	9	7
n07282006	bn:00080173n	n	vocal_music, vocal		music intended to be performed by one or more singers, usually with instrumental accompaniment	0.698	1	5
n07281635	bn:00075799n	n	Ta'ziyeh		(Islam) a form of Iranian musical pageant that is the theatrical expression of religious passion; based on the Battle of Kerbala and performed annually (in Farsi)	0.043	1	5
n07281219	bn:00064649n	n	program_music, programme_music		musical compositions intended to evoke images or remind the listener of events	0.25	2	6
n07278775	bn:00074571n	n	Stravinsky		the music of Stravinsky	1.0	1	5
n07278652	bn:00056177n	n	Mozart		the music of Mozart	1.0	1	5
n07278582	bn:00043211n	n	Haydn		the music of Haydn	1.0	1	5
n07278510	bn:00042806n	n	Handel		the music of Handel	1.0	1	5
n07278256	bn:00018729n	n	Chopin		the music of Chopin	1.0	1	5
n07278146	bn:00012670n	n	Brahms		the music of Brahms	1.0	1	5
n07278014	bn:00009609n	n	Beethoven		the music of Beethoven	1.0	1	5
n07277915	bn:00007701n	n	Bach		the music of Bach	1.0	1	5
n07240549	bn:00050486n	n	lecture, public_lecture, talk		a speech that is open to the public	0.0	9	7
n07240077	bn:00046246n	n	inaugural_address, inaugural		an address delivered at an inaugural ceremony (especially by a United States president)	0.0	9	7
n07239927	bn:00046186n	n	impromptu		a short musical passage that seems to have been made spontaneously without advance preparation	0.333	3	7
n07239788	bn:00046185n	n	impromptu		an extemporaneous speech or remark	0.0	9	7
n07239428	bn:00027834n	n	dithyramb		a wildly enthusiastic speech or piece of writing	0.0	5	5
n07239183	bn:00002915n	n	allocution		(rhetoric) a formal or authoritative address that advises or exhorts	0.0	9	7
n07215816	bn:00056193n	n	muckraking		the exposure of scandal (especially about public figures)	0.333	10	8
n07215377	bn:00032377n	n	exposure		the disclosure of something secret	1.0	9	7
n07201804	bn:00017758n	n	word_picture, word-painting, delineation, depiction, picture, characterization, characterisation		a graphic or vivid verbal description	0.626	6	6
n07109019	bn:00007129n	n	auditory_communication		communication that relies on hearing	0.333	1	3
n07086861	bn:00007760n	n	backbeat		a loud steady beat	0.805	8	6
n07068631	bn:00026702n	n	development		(music) the section of a composition or movement (especially in sonata form) where the major musical themes are developed and elaborated	0.843	2	6
n07065932	bn:00077859n	n	trad		traditional jazz as revived in the 1950s	1.0	4	7
n07063921	bn:00055474n	n	modern_jazz, new_jazz, neo_jazz		any of various styles of jazz that appeared after 1940	0.816	4	7
n07063775	bn:00044937n	n	hot_jazz		jazz that is emotionally charged and intense and marked by strong rhythms and improvisation	0.724	4	7
n07062451	bn:00073717n	n	square-dance_music		music performed for square dancing	1.0	4	7
n07059821	bn:00052630n	n	macumba		popular dance music of Brazil; derived from the practices of the macumba religious cult	0.25	3	6
n07058871	bn:00064549n	n	processional_march, recessional_march		a march to be played for processions	0.75	3	6
n07058668	bn:00065699n	n	quickstep		military march accompanying quick time	1.0	4	7
n07057948	bn:00076136n	n	tarantella		music composed in six-eight time for dancing the tarantella	1.0	2	6
n07057001	bn:00069244n	n	saraband		music composed for dancing the saraband	1.0	2	6
n07056764	bn:00067670n	n	rumba, rhumba		syncopated music in duple time for dancing the rumba	0.729	2	6
n07056680	bn:00066767n	n	reel		music composed for dancing a reel	1.0	2	6
n07056593	bn:00065508n	n	quadrille		music for dancing the quadrille	0.287	2	6
n07056021	bn:00053966n	n	mazurka		music composed for dancing the mazurka	0.548	2	6
n07055923	bn:00049875n	n	landler		music in triple time for dancing the landler	1.0	2	6
n07055502	bn:00037537n	n	gavotte		music composed in quadruple time for dancing the gavotte	0.679	2	6
n07054994	bn:00009649n	n	beguine		music written in the bolero rhythm of the beguine dance	1.0	2	6
n07054336	bn:00008166n	n	ballet		music written for a ballet	1.0	1	5
n07053732	bn:00070585n	n	serenade		a song characteristically played outside the house of a woman	0.333	3	7
n07053491	bn:00068400n	n	roundelay		a song in which a line or phrase is repeated as the refrain	0.273	3	7
n07052700	bn:00040980n	n	oldie, golden_oldie		a song that was formerly popular	1.0	3	7
n07050952	bn:00035609n	n	folk_song, folksong, folk_ballad		a song that is traditionally sung by the common people of a region and forms part of their culture	0.608	3	7
n07050503	bn:00027837n	n	ditty		a short simple song (or the words of a poem intended to be sung)	0.667	3	7
n07050379	bn:00077811n	n	tra-la, tra-la-la		a set of nonsensical syllables used while humming a refrain	0.667	2	6
n07049849	bn:00055219n	n	minstrelsy		ballads sung by minstrels	1.0	4	8
n07049713	bn:00008153n	n	ballad, lay		a narrative song with a recurrent refrain	0.4	3	7
n07049634	bn:00005638n	n	arietta, short_aria		a short aria	1.0	4	8
n07047275	bn:00060813n	n	partita		one of the variations contained in a partita	1.0	4	8
n07046737	bn:00050031n	n	larghetto		(music) a composition or passage played in a slow tempo slightly faster than largo but slower than adagio	0.763	2	6
n07046543	bn:00050032n	n	largo		(music) a composition or passage that is to be performed in a slow and dignified manner	0.761	2	6
n07045788	bn:00067782n	n	riff		a jazz ostinato; usually provides a background for a solo improvisation	0.871	5	9
n07044917	bn:00056465n	n	passage, musical_passage		a short section of a musical composition	0.867	2	6
n07043824	bn:00045863n	n	pastorale, pastoral, idyll, idyl		a musical composition that evokes rural life	0.818	2	6
n07043026	bn:00030910n	n	enigma_canon, enigmatic_canon, enigmatical_canon, riddle_canon		a canon in which the entrances of successive parts were indicated by cryptic symbols and devices (popular in the 15th and 16th centuries)	0.699	3	7
n07042137	bn:00058610n	n	octet, octette		a musical composition written for eight performers	1.0	2	6
